电影详情链接,图片链接,影片中文名,影片外国名,评分,评价数,概况,相关信息
https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,闻香识女人,  Scent of a Woman,9.1,916756,史上最美的探戈,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino  克里斯...1992  美国  剧情
https://movie.douban.com/subject/1291548/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,死亡诗社,  Dead Poets Society,9.2,756176,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams  罗伯...1989  美国  剧情
https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,绿皮书,  Green Book,8.9,1701253,去除成见，需要勇气,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen ...2018  美国 中国大陆  剧情 喜剧 传记 音乐
https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,罗马假日,  Roman Holiday,9.1,972354,爱情哪怕只有一天,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn  格...1953  美国  喜剧 剧情 爱情
https://movie.douban.com/subject/1418019/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,大闹天宫, ,9.4,453669,经典之作，历久弥新,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu  富润生 Runsheng Fu...1961(中国大陆)  1964(中国大陆)  1978(中国大陆)  中国大陆  剧情 动画 奇幻 古装
https://movie.douban.com/subject/1291828/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,天堂电影院,  Nuovo Cinema Paradiso,9.2,693132,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...1988  意大利 法国  剧情 爱情
https://movie.douban.com/subject/1291571/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,指环王1：护戒使者,  The Lord of the Rings: The Fellowship of the Ring,9.1,871868,传说的开始,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood  西恩...2001  新西兰 美国  剧情 动作 奇幻 冒险
https://movie.douban.com/subject/1291843/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,黑客帝国,  The Matrix,9.1,860422,视觉革命,导演: 安迪·沃卓斯基 Andy Wachowski  拉娜·沃卓斯基 Lana Wachowski   主...1999  美国  动作 科幻
https://movie.douban.com/subject/1299131/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,教父2,  The Godfather: Part II,9.3,570753,优雅的孤独,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...1974  美国  剧情 犯罪
https://movie.douban.com/subject/1301753/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,狮子王,  The Lion King,9.1,870287,动物版《哈姆雷特》,导演: Roger Allers  罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...1994  美国  动画 冒险 歌舞
https://movie.douban.com/subject/21937445/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,辩护人,  변호인,9.2,603276,电影的现实意义大过电影本身,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song  金英爱 Yeong-ae...2013  韩国  剧情
https://movie.douban.com/subject/1291818/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,饮食男女,  飲食男女,9.2,641034,人生不能像做菜，把所有的料都准备好了才下锅,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung  杨贵媚 Kuei-Mei Yang  吴...1994  中国台湾 美国  剧情 家庭
https://movie.douban.com/subject/1292000/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,搏击俱乐部,  Fight Club,9.0,870940,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton  布拉...1999  美国  剧情 动作 悬疑 惊悚
https://movie.douban.com/subject/1485260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,本杰明·巴顿奇事,  The Curious Case of Benjamin Button,9.0,1011518,在时间之河里感受溺水之苦,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett  ...2008  美国  剧情 爱情 奇幻
https://movie.douban.com/subject/1306029/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,美丽心灵,  A Beautiful Mind,9.1,789205,爱是一切逻辑和原由,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe  艾德·哈...2001  美国  传记 剧情
https://movie.douban.com/subject/3008247/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,穿条纹睡衣的男孩,  The Boy in the Striped Pajamas,9.2,583938,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...2008  英国 美国  剧情 战争
https://movie.douban.com/subject/1900841/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,窃听风暴,  Das Leben der Anderen,9.2,579767,别样人生,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &amp;n...2006  德国  剧情 悬疑
https://movie.douban.com/subject/1292220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,情书,  Love Letter,8.9,1152872,暗恋的极致,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama  丰川悦司 Ets...1995  日本  剧情 爱情
https://movie.douban.com/subject/1293350/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,两杆大烟枪,"  Lock, Stock and Two Smoking Barrels",9.1,611187,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng  德克斯特...1998  英国  剧情 喜剧 犯罪
https://movie.douban.com/subject/1292402/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,西西里的美丽传说,  Malèna,8.9,1002232,美丽无罪,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...2000  意大利 美国  剧情 战争 情色
https://movie.douban.com/subject/1294408/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,音乐之声,  The Sound of Music,9.1,620461,用音乐化解仇恨，让歌声串起美好,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews  克...1965  美国  剧情 传记 爱情 歌舞
https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,看不见的客人,  Contratiempo,8.8,1309805,你以为你以为的就是你以为的,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas  阿...2016  西班牙  剧情 犯罪 悬疑 惊悚
https://movie.douban.com/subject/1652587/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,阿凡达,  Avatar,8.8,1457447,绝对意义上的美轮美奂,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...2009  美国  动作 科幻 冒险
https://movie.douban.com/subject/3011235/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,哈利·波特与死亡圣器(下),  Harry Potter and the Deathly Hallows: Part 2,9.0,860036,10年的完美句点,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...2011  美国 英国  奇幻 冒险
https://movie.douban.com/subject/1292849/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,拯救大兵瑞恩,  Saving Private Ryan,9.1,664404,美利坚精神输出大片No1.,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...1998  美国  剧情 战争
https://movie.douban.com/subject/1292224/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,飞越疯人院,  One Flew Over the Cuckoo's Nest,9.1,560161,自由万岁,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...1975  美国  剧情
https://movie.douban.com/subject/1303021/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,小鞋子,  بچه های آسمان,9.2,422592,奔跑的孩子是天使,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...1997  伊朗  剧情 儿童 家庭
https://movie.douban.com/subject/1293544/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,沉默的羔羊,  The Silence of the Lambs,8.9,917505,安东尼·霍普金斯的顶级表演,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster  安...1991  美国  剧情 犯罪 惊悚
https://movie.douban.com/subject/1291543/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,功夫, ,8.8,1177068,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow  元秋 Qiu Yuen  ...2004  中国大陆 中国香港  动作 喜剧 犯罪 奇幻
https://movie.douban.com/subject/11525673/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg,布达佩斯大饭店,  The Grand Budapest Hotel,8.9,972397,小清新的故事里注入了大历史的情怀,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes  ...2014  美国 德国 英国  剧情 喜剧 冒险
https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg,禁闭岛,  Shutter Island,8.9,1008360,昔日翩翩少年，今日大腹便便,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio  ...2010  美国  剧情 悬疑 惊悚
https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,蝴蝶效应,  The Butterfly Effect,8.9,965780,人的命运被自己瞬间的抉择改变,导演: 埃里克·布雷斯 Eric Bress  J·麦基·格鲁伯 J. Mackye Gruber   主...2004  美国 加拿大  剧情 悬疑 科幻 惊悚
https://movie.douban.com/subject/1780330/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,致命魔术,  The Prestige,8.9,884781,孪生蝙蝠侠大战克隆金刚狼,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...2006  英国 美国  剧情 悬疑 惊悚
